Property Name,Location,Website_Link,Contact_Number
Marisa Rooms,"Paros 844 00, Greece",,
Baloo Hostel,"Favierou 4, Athina 104 38, Greece",baloohostel.com,+30 21 1750 2972
Mosaikon Glostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Athens Hub Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Sunny Hill Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Pension George,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Stelios Place at Perissa Beach,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Pension Stella,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Villa Manos,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Anna Pension,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Villa Pelekanos,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Stelios rooms,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Kafieris View,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Honeymoon Beach Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Santorini Breeze Studios,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Emmanouela Studios & Villas,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Emmanouela Studios & Villas,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Caveland,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Bedspot Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Holiday Beach Resort,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Youth Hostel Anna,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Renia Hotel-Apartments,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Fira backpackers place,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Central Hostel Oia,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Socrates Hotel Malia Beach,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Notos Heights Hotel & Suites Malia,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Youth Hostel Plakias,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Matala Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Anny Studios - Perissa Beach,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Prince of Lillies,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Civitel Creta Beach,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Santo George Beach Resort,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Pension Rea,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
So Young Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Intra Muros Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Castro Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Ios Palm Pansion,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Brother's Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Heraklion Youth Hostel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Flisvos Hotel Ios,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Aphrodite Hotel -Ios,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Skala Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Princess Sissy Hotel,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Villa Mata,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Galini Pension,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Far Out Camping,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Polos,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Francesco's,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Civitel Akali,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Far Out Beach Club,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
Hotel Paros,"20 Bến Nghé, Phú Hội, Thành phố Huế, Thừa Thiên Huế, Vietnam",,+84 90 565 51 21
